SettlementPoint,Year,Month,Mean,Min,Max,SD,Volatility
HB_NORTH,2016,Dec,25.14904569892473,3.17,138.12,10.941741566558264,0.2041574005655451
HB_NORTH,2017,Jan,22.991854838709678,2.02,96.37,7.40032972241333,0.1926844415016828
HB_NORTH,2017,Feb,19.448199404761905,4.77,51.8,5.934393190161846,0.17753857350611585
HB_NORTH,2017,Mar,21.22777927321669,5.46,63.71,6.777892002262998,0.14849906244397315
HB_NORTH,2017,Apr,21.410555555555554,7.16,61.79,6.24491784224872,0.14143133865139046
HB_NORTH,2017,May,23.419919354838708,5.2,62.98,6.722616735124593,0.13767632449296507
HB_NORTH,2017,Jun,25.890569444444445,15.33,70.82,9.048123147849383,0.12416063636482028
HB_NORTH,2017,Jul,30.65431451612903,16.47,244.42,16.651010261624055,0.15037975067726617
HB_NORTH,2017,Aug,26.832728494623655,16.61,85.93,10.255855876488058,0.12218414432662116
HB_NORTH,2017,Sep,23.34611111111111,8.29,54.32,7.261250913423443,0.11600206770812456
HB_NORTH,2017,Oct,21.40590053763441,1.88,75,7.791168430578759,0.16715254485573458
HB_NORTH,2017,Nov,21.596208333333333,3.19,69.49,7.568659608784368,0.17852629271671766
HB_NORTH,2017,Dec,20.952997311827957,6.18,53.18,4.987721615378066,0.15551028462483898
HB_NORTH,2018,Jan,37.58590053763441,6.24,1659.26,87.45206198148664,0.2190531142481276
HB_NORTH,2018,Feb,21.76702380952381,6.39,73.33,7.452917156357079,0.1959556847537579
HB_NORTH,2018,Mar,22.608008075370122,8.57,69.87,8.217259861945996,0.18117568443501017
HB_NORTH,2018,Apr,23.522916666666667,8.06,52.98,7.026932638200544,0.15311768228565178
HB_NORTH,2018,May,35.30614247311828,9.32,550.83,39.463383345482946,0.22659208629105132
HB_NORTH,2018,Jun,30.21188888888889,15.35,115.08,15.084811187253619,0.1472709771861378
HB_NORTH,2018,Jul,78.96845430107527,9.79,2063.87,233.55245524774716,0.37761742130129905
HB_NORTH,2018,Aug,31.603051075268816,12,150,18.64059523762587,0.16355799280299957
HB_NORTH,2018,Sep,27.29963888888889,14.02,89.78,10.928677673760703,0.12316036381355447
HB_NORTH,2018,Oct,30.034166666666668,9.57,95,10.334967046572817,0.13832995812149887
HB_NORTH,2018,Nov,31.23488888888889,9.38,114.35,11.596295053094757,0.170650163201414
HB_NORTH,2018,Dec,30.398266129032258,6.96,117.3,9.919452147482733,0.17451174602796482
HB_NORTH,2019,Jan,24.33263440860215,5.41,75.1,8.213235570821181,0.17046049045488715
HB_NORTH,2019,Feb,20.864955357142858,4.48,56.39,7.0187809156553875,0.18965327229589737
HB_NORTH,2019,Mar,28.10371467025572,8.95,676.5,34.155593973165175,0.19787281139963622
HB_NORTH,2019,Apr,22.99740277777778,5.53,100.8,11.622436364291053,0.18679970514988634
HB_NORTH,2019,May,23.978884408602152,9.96,67.3,8.688466045637167,0.13351860261753198
HB_NORTH,2019,Jun,25.175819444444443,8.17,101.27,13.602406822767914,0.14819668736961633
HB_NORTH,2019,Jul,29.781290322580645,11.22,274.65,26.916675138030307,0.19513013678070495
HB_NORTH,2019,Aug,126.52185483870967,10,3500.92,401.5181039277682,0.512939101676679
HB_NORTH,2019,Sep,79.91958333333334,7.81,5010.22,380.5384254197815,0.34978574114093247
HB_NORTH,2019,Oct,27.995967741935484,6.11,853.71,53.323601612869346,0.23547182792462304
HB_NORTH,2019,Nov,23.628611111111113,3.49,212.85,15.121341806879718,0.22995379122173334
HB_NORTH,2019,Dec,18.731989247311827,4.01,59.75,6.806604034839857,0.1862582747395069
HB_PAN,2019,Apr,16.548766666666666,-19.01,99.64,14.227681951102403,0.5748220651624282
HB_PAN,2019,May,16.414327956989247,-15.06,67.69,13.544792459757305,NA
HB_PAN,2019,Jun,20.731319444444445,-11.58,100.06,15.826254741623814,NA
HB_PAN,2019,Jul,28.384569892473117,0.5,274.16,27.36512057912495,0.2472140108561493
HB_PAN,2019,Aug,124.99173387096774,-9.99,3497.75,401.49762789284887,NA
HB_PAN,2019,Sep,72.85329166666666,-14.97,5010.1,381.5470467094593,NA
HB_PAN,2019,Oct,18.71676075268817,-20.69,843.05,54.79572759540513,NA
HB_PAN,2019,Nov,11.661291666666667,-29.98,211.43,21.725598922420986,NA
HB_PAN,2019,Dec,8.817244623655913,-27.84,60.3,16.045190188916134,NA
HB_SOUTH,2016,Jan,19.21005376344086,5.18,54.4,5.458224904565117,0.16309987390644537
HB_SOUTH,2016,Feb,15.333591954022989,2.02,50.25,5.766310020451896,0.22119379006923567
HB_SOUTH,2016,Mar,16.763109017496635,1,69.59,7.562570221381636,0.21645286695552893
HB_SOUTH,2016,Apr,18.51290277777778,1.17,99,9.962189284750313,0.23121263941979858
HB_SOUTH,2016,May,18.57045698924731,2.77,71.92,8.661368325580218,0.17881236057505198
HB_SOUTH,2016,Jun,24.645375,4.93,119.5,11.984516256441227,0.15297584253027416
HB_SOUTH,2016,Jul,26.960255376344087,-27.74,100.15,14.223926454532691,NA
HB_SOUTH,2016,Aug,31.207970430107526,13.44,237.08,28.706992658650872,0.1876799650034326
HB_SOUTH,2016,Sep,27.405569444444446,11.08,203.25,15.053059746843543,0.13928111891455242
HB_SOUTH,2016,Oct,26.689663978494625,3.43,282.46,17.671567723574377,0.19059942407483263
HB_SOUTH,2016,Nov,20.148833333333332,3.2,49.27,6.918300399465621,0.18347488769472897
HB_SOUTH,2016,Dec,25.708991935483873,2.72,141.49,11.367082161043973,0.20652619147545845
HB_SOUTH,2017,Jan,23.62481182795699,1.89,96.01,7.575724207807039,0.19848335392588498
HB_SOUTH,2017,Feb,21.079360119047617,3.29,53.41,7.134705341168084,0.1905192378608939
HB_SOUTH,2017,Mar,23.680753701211305,5.02,78.22,8.66664899612327,0.14914049667796322
HB_SOUTH,2017,Apr,25.609402777777778,8.88,94.72,9.029660940162145,0.14154064414956644
HB_SOUTH,2017,May,26.495013440860216,4.73,68.65,9.192251989315869,0.15376567575769343
HB_SOUTH,2017,Jun,29.654694444444445,15.39,98.22,13.388315766817483,0.14123084400366465
HB_SOUTH,2017,Jul,32.1294623655914,17.07,268.53,18.90136043673263,0.15890512443089413
HB_SOUTH,2017,Aug,28.31502688172043,16.63,91.52,11.581170602149857,0.12685013201143994
HB_SOUTH,2017,Sep,25.515097222222224,8.68,68.76,8.801109045773567,0.12236398816800238
HB_SOUTH,2017,Oct,25.563655913978494,4.63,113.12,11.44361036169301,0.15810755312478036
HB_SOUTH,2017,Nov,23.977180555555556,5.09,92.56,8.787211894234108,0.16124002477479876
HB_SOUTH,2017,Dec,21.997916666666665,5.73,64.46,5.585505404189784,0.15701588469545869
HB_SOUTH,2018,Jan,39.498145161290324,6.01,1675.95,88.67166127106842,0.21604823968846748
HB_SOUTH,2018,Feb,22.30639880952381,4.08,74.89,7.797641728131438,0.20172040821332612
HB_SOUTH,2018,Mar,22.888452220726784,7.37,70.15,7.990134982283653,0.17601672377478017
HB_SOUTH,2018,Apr,24.471888888888888,7.06,54.92,7.698613356269683,0.15730798862440679
HB_SOUTH,2018,May,34.226075268817205,9.67,531.39,37.16877772907251,0.22032364475233765
HB_SOUTH,2018,Jun,30.068638888888888,16.07,114.49,13.978537296864102,0.14165178723643165
HB_SOUTH,2018,Jul,78.84737903225806,10.07,2058.15,232.88427198288306,0.3778711992816942
HB_SOUTH,2018,Aug,31.66752688172043,14.7,149.28,18.317685981494453,0.16123738074694632
HB_SOUTH,2018,Sep,27.189805555555555,15.64,87.78,10.218478841636113,0.1196079802783502
HB_SOUTH,2018,Oct,29.772513440860216,14.49,93.43,9.647190833725768,0.1332920396846021
HB_SOUTH,2018,Nov,29.837180555555555,9.46,104.24,11.002205151109663,0.16716378518156935
HB_SOUTH,2018,Dec,30.089301075268818,6.18,118.6,10.294004189647127,0.17783481173277374
HB_SOUTH,2019,Jan,25.08606182795699,7,74.19,7.680102234868328,0.16667533629353526
HB_SOUTH,2019,Feb,22.12563988095238,5.75,58.75,6.98671715324944,0.18373374238311016
HB_SOUTH,2019,Mar,27.13555854643338,6.63,685.53,34.99492019245871,0.20579091512457864
HB_SOUTH,2019,Apr,22.463333333333335,4.21,105.56,11.908119073175156,0.19831909747938725
HB_SOUTH,2019,May,24.05994623655914,9.4,66,8.276677345653292,0.1312253757407423
HB_SOUTH,2019,Jun,23.90436111111111,10.55,104.57,12.982437741673447,0.14679079719555463
HB_SOUTH,2019,Jul,29.6375,11.46,274.37,26.766762447821158,0.1936981771427611
HB_SOUTH,2019,Aug,125.93654569892473,10.49,3497.19,400.2652332314314,0.5155384789707312
HB_SOUTH,2019,Sep,78.90047222222222,8.03,5000.73,379.0236350930701,0.3537106469817289
HB_SOUTH,2019,Oct,29.46840053763441,8.4,838.47,52.06511827553334,0.22137015973979154
HB_SOUTH,2019,Nov,23.718555555555554,3.95,181.03,13.497690540509819,0.2211259309448913
HB_SOUTH,2019,Dec,18.952513440860216,3.58,69.69,6.656832472968684,0.18233173214317036
HB_WEST,2016,Jan,19.126559139784945,4.84,55.96,5.552808074476874,0.1634353841328283
HB_WEST,2016,Feb,14.988663793103449,-0.61,51.36,6.017304549324413,0.27825854600389727
HB_WEST,2016,Mar,15.871668909825033,0.38,60.57,7.3810102861606595,0.23767212315911812
HB_WEST,2016,Apr,16.86275,-0.05,90.43,9.270893627043185,0.2951446024283433
HB_WEST,2016,May,17.337674731182794,1.06,71.97,7.648550692442676,0.19522744986806415
HB_WEST,2016,Jun,23.141930555555554,3.73,102.08,10.286637497767178,0.14498179292891042
HB_WEST,2016,Jul,26.54356182795699,9.03,96.73,11.548332657215813,0.15090909788939172
HB_WEST,2016,Aug,29.78673387096774,13.26,224.54,25.374168289237257,0.1845768731579079
HB_WEST,2016,Sep,26.35425,10.68,201.03,14.581646674593998,0.13668765864894888
HB_WEST,2016,Oct,24.11393817204301,1.58,273.75,15.805819181603836,0.1988685092071345
HB_WEST,2016,Nov,18.778416666666665,0.8,48.69,6.296595940514881,0.202333169313366
HB_WEST,2016,Dec,24.86266129032258,0.26,137.73,11.297255966368274,0.23400388893817942
HB_WEST,2017,Jan,21.901720430107527,-0.4,96.47,8.329261364773261,0.3240488447425577
HB_WEST,2017,Feb,17.61668154761905,-4.3,52.13,8.353607598538456,NA
HB_WEST,2017,Mar,19.813593539703902,-0.05,64.77,8.285855409811543,0.2898005147606532
HB_WEST,2017,Apr,19.99609722222222,-0.95,67.92,8.11548532087369,0.29480685030416404
HB_WEST,2017,May,22.166612903225808,1.2,53.75,6.960570769950846,0.19181642505573696
HB_WEST,2017,Jun,25.331694444444445,11.13,73.8,8.688395241214742,0.12816417865122814
HB_WEST,2017,Jul,30.29364247311828,16.53,233.81,16.11667038729388,0.15086642465699282
HB_WEST,2017,Aug,26.817043010752688,16.63,86.37,10.236244257218413,0.12328542303958792
HB_WEST,2017,Sep,22.678819444444443,8.32,54.25,6.8312186814573,0.11458915220282932
HB_WEST,2017,Oct,21.69383064516129,1.84,70.17,8.01605077099721,0.17253365256469688
HB_WEST,2017,Nov,21.001791666666666,-0.09,73.34,8.324036361486982,0.2498600702512504
HB_WEST,2017,Dec,20.338037634408604,-2.28,53.28,6.117314012983184,0.2609351619243322
HB_WEST,2018,Jan,36.05163978494624,0.21,1661.14,87.99336444454859,0.2818898699308082
HB_WEST,2018,Feb,21.087604166666665,1.05,73.33,8.123562208468396,0.23539483419541432
HB_WEST,2018,Mar,20.333620457604308,-0.62,69.7,9.999361985102984,NA
HB_WEST,2018,Apr,17.156625,-5.98,52.8,11.163072038103397,NA
HB_WEST,2018,May,27.692016129032258,-4.56,531.53,38.01272945351065,0.43053574191585153
HB_WEST,2018,Jun,28.27702777777778,7.12,107,13.839546440320047,0.15954130327224791
HB_WEST,2018,Jul,78.51755376344086,9.71,2066.82,233.86985552369813,0.37977302473794944
HB_WEST,2018,Aug,31.560120967741934,10.83,150.33,18.630238668683326,0.1641105159752169
HB_WEST,2018,Sep,26.13959722222222,7.07,85.07,10.069532088024678,0.12477106794980403
HB_WEST,2018,Oct,28.76133064516129,2.39,95.58,10.315092209880278,0.15237444496753266
HB_WEST,2018,Nov,28.71525,1.04,115.67,13.658234997523145,0.2365739112951096
HB_WEST,2018,Dec,29.944005376344087,0,119.86,11.728604670439227,NA
HB_WEST,2019,Jan,23.881545698924732,0.63,75.83,9.684645248889197,0.2151913541519655
HB_WEST,2019,Feb,20.491160714285716,3.1,57.22,7.910899373907351,0.21807540896316538
HB_WEST,2019,Mar,25.669676985195157,-0.28,686.52,35.93572452588236,NA
